timestamp,frame,event,value
10.285,90,PULANDO,#1
11.521,112,COLETADO,#1
16.575,201,PULANDO,#1
21.851,291,PULANDO,#2
21.928,292,ESCAPE,estagnação=180 frames
27.077,381,PULANDO,#3
32.2,471,PULANDO,#4
32.766,481,ESCAPE,estagnação=180 frames
37.473,561,PULANDO,#5
42.749,651,PULANDO,#6
43.835,670,ESCAPE,estagnação=180 frames
46.978,723,COLETADO,#2
52.252,812,PULANDO,#1
54.967,857,COLETADO,#3
57.709,903,COLETADO,#4
59.382,931,COLETADO,#5
64.201,1014,COLETADO,#6
69.379,1103,PULANDO,#1
74.797,1193,PULANDO,#2
74.862,1194,ESCAPE,estagnação=180 frames
75.392,1203,COLETADO,#7
76.97,1231,COLETADO,#8
81.988,1320,PULANDO,#1
86.98,1410,PULANDO,#2
87.039,1411,ESCAPE,estagnação=180 frames
94.176,1531,PULANDO,#1
98.219,1600,ESCAPE,estagnação=180 frames
99.4,1621,PULANDO,#2
