timestamp,frame,event,value
8.205,32,COLETADO,#1
10.102,65,COLETADO,#2
15.204,154,PULANDO,#1
20.321,244,PULANDO,#2
20.38,245,ESCAPE,estagnação=180 frames
24.355,304,COLETADO,#3
29.495,393,PULANDO,#1
32.351,442,COLETADO,#4
35.462,494,COLETADO,#5
37.03,522,COLETADO,#6
39.88,574,COLETADO,#7
42.091,613,COLETADO,#8
47.213,702,PULANDO,#1
50.222,756,COLETADO,#9
51.841,784,COLETADO,#10
56.92,873,PULANDO,#1
59.828,925,COLETADO,#11
64.378,1006,COLETADO,#12
69.372,1095,PULANDO,#1
74.29,1185,PULANDO,#2
74.345,1186,ESCAPE,estagnação=180 frames
82.348,1328,PULANDO,#1
84.928,1375,ESCAPE,estagnação=180 frames
87.374,1418,COLETADO,#13
89.031,1448,COLETADO,#14
94.052,1537,PULANDO,#1
95.324,1560,COLETADO,#15
98.28,1614,COLETADO,#16
100.043,1646,COLETADO,#17
101.603,1674,COLETADO,#18
105.983,1754,COLETADO,#19
107.561,1782,COLETADO,#20
110.854,1840,COLETADO,#21
115.596,1925,COLETADO,#22
121.074,2022,COLETADO,#23
125.947,2111,PULANDO,#1
131.181,2201,PULANDO,#2
131.235,2202,ESCAPE,estagnação=180 frames
136.168,2291,PULANDO,#2
141.448,2381,PULANDO,#2
141.98,2391,ESCAPE,estagnação=180 frames
146.559,2471,PULANDO,#3
151.593,2561,PULANDO,#4
152.835,2580,ESCAPE,estagnação=180 frames
156.45,2651,PULANDO,#4
160.818,2741,PULANDO,#4
162.219,2769,ESCAPE,estagnação=180 frames
165.202,2831,PULANDO,#4
169.628,2921,PULANDO,#4
171.559,2958,ESCAPE,estagnação=180 frames
