timestamp,frame,event,value
10.0,90,PULANDO,#1
15.165,180,PULANDO,#2
15.167,180,ESCAPE,estagnação=180 frames
20.325,271,PULANDO,#3
25.34,361,PULANDO,#4
26.065,373,ESCAPE,estagnação=180 frames
31.784,451,PULANDO,#5
36.521,541,PULANDO,#6
38.245,573,ESCAPE,estagnação=180 frames
41.899,644,PULANDO,#7
47.016,734,PULANDO,#8
49.609,778,ESCAPE,estagnação=180 frames
52.208,824,PULANDO,#9
57.426,914,PULANDO,#10
60.438,970,ESCAPE,estagnação=180 frames
66.233,1091,COLETADO,#1
71.084,1180,PULANDO,#1
76.224,1270,PULANDO,#2
76.279,1271,ESCAPE,estagnação=180 frames
81.164,1360,PULANDO,#3
