timestamp,frame,event,value
6.275,32,COLETADO,#1
11.155,121,PULANDO,#1
12.563,152,COLETADO,#2
14.053,180,COLETADO,#3
18.89,269,PULANDO,#1
23.749,359,PULANDO,#2
23.81,360,ESCAPE,estagnação=180 frames
28.557,449,PULANDO,#3
33.525,539,PULANDO,#4
34.219,552,ESCAPE,estagnação=180 frames
38.445,629,PULANDO,#5
43.3,719,PULANDO,#6
44.661,744,ESCAPE,estagnação=180 frames
48.139,809,PULANDO,#3
52.967,899,PULANDO,#4
54.974,936,ESCAPE,estagnação=180 frames
57.846,989,PULANDO,#5
62.83,1079,PULANDO,#6
65.811,1128,ESCAPE,estagnação=180 frames
68.346,1169,PULANDO,#7
73.46,1259,PULANDO,#5
76.951,1320,ESCAPE,estagnação=180 frames
77.267,1326,COLETADO,#4
78.757,1354,COLETADO,#5
80.241,1382,COLETADO,#6
85.162,1471,PULANDO,#1
90.145,1561,PULANDO,#2
90.215,1562,ESCAPE,estagnação=180 frames
95.458,1660,PULANDO,#1
100.325,1750,PULANDO,#2
100.534,1754,ESCAPE,estagnação=180 frames
106.803,1869,PULANDO,#1
110.949,1946,ESCAPE,estagnação=180 frames
111.629,1959,PULANDO,#2
115.199,2026,COLETADO,#7
117.652,2072,COLETADO,#8
122.634,2163,PULANDO,#1
127.611,2252,ESCAPE,estagnação=180 frames
127.671,2253,PULANDO,#2
131.074,2314,COLETADO,#9
132.627,2342,COLETADO,#10
135.459,2394,COLETADO,#11
140.282,2483,PULANDO,#1
145.158,2573,PULANDO,#2
145.212,2574,ESCAPE,estagnação=180 frames
145.56,2580,COLETADO,#12
147.056,2608,COLETADO,#13
148.648,2636,COLETADO,#14
153.503,2725,PULANDO,#1
158.29,2815,PULANDO,#2
158.343,2816,ESCAPE,estagnação=180 frames
163.116,2905,PULANDO,#3
168.308,2995,PULANDO,#4
169.012,3008,ESCAPE,estagnação=180 frames
173.196,3085,PULANDO,#5
178.017,3175,PULANDO,#6
179.4,3200,ESCAPE,estagnação=180 frames
