timestamp,frame,event,value
9.209,90,PULANDO,#1
14.478,181,PULANDO,#2
14.479,181,ESCAPE,estagnação=180 frames
19.578,271,PULANDO,#3
24.747,361,PULANDO,#4
25.388,373,ESCAPE,estagnação=180 frames
29.73,451,PULANDO,#5
31.889,490,COLETADO,#1
36.788,579,PULANDO,#1
41.823,669,PULANDO,#2
41.879,670,ESCAPE,estagnação=180 frames
46.884,759,PULANDO,#3
51.887,849,PULANDO,#4
52.58,862,ESCAPE,estagnação=180 frames
56.873,939,PULANDO,#5
61.789,1029,PULANDO,#6
63.136,1054,ESCAPE,estagnação=180 frames
66.707,1119,PULANDO,#7
71.558,1209,PULANDO,#8
73.599,1246,ESCAPE,estagnação=180 frames
76.608,1300,PULANDO,#9
81.523,1390,PULANDO,#10
84.182,1439,ESCAPE,estagnação=180 frames
