timestamp,frame,event,value
6.328,31,COLETADO,#1
10.184,99,COLETADO,#2
16.856,217,COLETADO,#3
18.429,245,COLETADO,#4
23.461,334,PULANDO,#1
28.446,424,PULANDO,#2
28.503,425,ESCAPE,estagnação=180 frames
33.51,514,PULANDO,#3
38.631,604,PULANDO,#4
39.325,617,ESCAPE,estagnação=180 frames
40.565,639,COLETADO,#5
42.88,680,COLETADO,#6
52.736,857,PULANDO,#1
52.926,860,ESCAPE,estagnação=180 frames
55.605,907,COLETADO,#7
57.174,935,COLETADO,#8
58.65,963,COLETADO,#9
64.795,1075,PULANDO,#1
68.708,1143,ESCAPE,estagnação=180 frames
70.005,1165,PULANDO,#2
75.108,1255,PULANDO,#3
77.202,1293,COLETADO,#10
80.454,1353,COLETADO,#11
82.045,1381,COLETADO,#12
87.112,1470,PULANDO,#1
92.294,1560,PULANDO,#2
92.355,1561,ESCAPE,estagnação=180 frames
92.702,1567,COLETADO,#13
94.295,1595,COLETADO,#14
99.336,1684,PULANDO,#1
104.381,1774,PULANDO,#2
104.436,1775,ESCAPE,estagnação=180 frames
108.22,1842,COLETADO,#15
