timestamp,frame,fps,left,center,right,x,magnitude,fw_bias,visual_bias,escape_active,dopamine,items,skip_focus,collected,reward_rate,escape_rate,orient_rate
4.626,1,0.0,0.1515,0.8229,0.0255,-0.3622,0.7761,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
4.711,2,0.0,0.0123,1.0,0.0298,0.1637,0.8567,0.0,0.0,0,1.0,9,0,0,0.0,0.0,0.0
4.77,3,0.0,0.1079,0.8644,0.0405,-0.2192,0.7865,0.0,0.0,0,1.0,4,0,0,0.0,0.0,0.0
4.83,4,0.0,0.0429,1.0,0.0477,0.0231,0.8667,0.0,0.0,0,1.0,4,0,0,0.0,0.0,0.0
4.888,5,0.0,0.158,0.9834,0.0337,-0.3221,0.9145,0.0,0.0,0,1.0,4,0,0,0.0,0.0,0.0
4.946,6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,1.0,0,0,0,0.0,0.0,0.0
5.006,7,0.0,0.2427,0.7162,0.0573,-0.3758,0.7375,0.0,0.0,0,1.0,7,0,0,0.0,0.0,0.0
5.062,8,0.0,0.1644,0.6359,0.0764,-0.2157,0.6262,0.0,0.0,0,1.0,3,0,0,0.0,0.0,0.0
5.126,9,0.0,0.0325,0.9019,0.1685,0.3471,0.852,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
5.188,10,0.0,0.0083,0.9329,0.296,0.5357,0.9494,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
5.246,11,0.0,0.0,0.8419,0.3063,0.5841,0.8787,0.0,0.0,0,1.0,7,0,0,0.0,0.0,0.0
5.312,12,0.0,0.0,1.0,0.2474,0.5266,0.9785,0.0,0.0,0,1.0,6,0,0,0.0,0.0,0.0
5.372,13,0.0,0.0792,0.8251,0.3295,0.3908,0.8776,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
5.427,14,0.0,0.0662,1.0,0.1337,0.169,0.9149,0.0,0.0,0,1.0,8,0,0,0.0,0.0,0.0
5.474,15,0.0,0.0271,1.0,0.1796,0.3719,0.9406,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
5.529,16,0.0,0.1046,0.9475,0.1457,0.088,0.8775,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
5.588,17,0.0,0.1955,0.8634,0.0,-0.5151,0.8348,0.0,0.0,0,1.0,5,0,0,0.0,0.0,0.0
5.644,18,0.0,0.3386,0.7269,0.0,-0.627,0.8002,0.0,0.0,0,1.0,9,0,0,0.0,0.0,0.0
5.713,19,0.0,0.361,0.6106,0.0,-0.6721,0.715,0.0,0.0,0,1.0,7,0,0,0.0,0.0,0.0
5.772,20,0.0,0.5021,0.9224,0.0462,-0.5597,1.0,0.0,0.0,0,1.0,10,0,0,0.0,0.0,0.0
5.831,21,0.0,0.0162,1.0,0.4701,0.5926,1.0,-0.0961,0.0,0,1.0,10,0,0,0.0048,0.0,0.0019
5.891,22,0.0,0.035,0.938,0.5056,0.5808,1.0,-0.1129,0.0,0,1.0,7,0,0,0.0056,0.0,0.0023
5.948,23,0.0,0.0175,0.9827,0.5099,0.61,1.0,-0.1967,0.0,0,1.0,11,0,0,0.0098,0.0,0.0039
6.006,24,0.0,0.0047,0.9892,0.5024,0.6327,1.0,-0.1967,0.0,0,1.0,8,0,0,0.0098,0.0,0.0039
6.065,25,0.0,0.0371,0.944,0.5087,0.577,1.0,-0.0835,0.0,0,1.0,16,0,0,0.0042,0.0,0.0017
6.125,26,0.0,0.0191,1.0,0.3794,0.5419,1.0,-0.1967,0.0,0,1.0,18,0,0,0.0098,0.0,0.0039
6.183,27,0.0,0.077,1.0,0.0591,-0.0608,0.8831,0.0,0.0,0,1.0,17,0,0,0.0,0.0,0.0
6.238,28,0.0,0.3308,1.0,0.1241,-0.283,1.0,0.0,0.0,0,1.0,15,0,0,0.0,0.0,0.0
6.303,29,0.0,0.4551,1.0,0.0,-0.6227,1.0,0.0,0.0,0,1.0,15,0,0,0.0,0.0,0.0
6.364,30,0.0,0.1462,1.0,0.2124,0.1075,0.959,-0.1129,0.0,0,1.0,16,0,0,0.0056,0.0,0.0023
6.42,31,5.1,0.4946,1.0,0.003,-0.6315,1.0,-0.1129,0.0,0,1.0,19,0,0,0.0056,0.0,0.0023
6.477,32,5.1,0.2284,1.0,0.0,-0.5162,0.9679,0.0,0.0,0,1.0,16,0,0,0.0,0.0,0.0
6.537,33,5.1,0.3751,1.0,0.1249,-0.3204,1.0,-0.1129,0.0,0,1.0,23,0,0,0.0056,0.0,0.0023
6.592,34,5.1,0.2249,1.0,0.0479,-0.3505,0.9659,-0.7,0.0,0,1.0,26,0,0,0.035,0.0,0.014
6.645,35,5.1,0.108,1.0,0.0761,-0.0851,0.9005,0.0,0.0,0,1.0,28,0,0,0.0,0.0,0.0
